F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-1,45,-7.97,0.54,3,0.5,-113.34,20.3,9.99,20.5,-5.52,3.6,-466.22,1.88,-7.49,True
1,27,-7.02,1.08,3,0.85,-47.34,20,2.88,19.4,-6.49,1.22,-470.22,0.57,,True
-2,0,-8.82,0.56,3,0.45,-152.34,19.62,9.78,20.74,-5.21,2.08,-534.22,5.62,-5.74,False
-14,855,-3.23,12,30,7.45,-341.34,34.76,-10.14,14.38,-4.79,-2.52,-846.22,-4.17,,True
-1,39,-8.12,2.88,3,0.76,-53.34,19.08,6.48,22.58,-7.52,1.24,-512.22,2.17,,False
-14,975,-1.84,12.5,30,9.85,93.66,30.66,-11.13,9.08,-8.47,-1.82,-486.22,-2.57,,False
-14,885,-1.99,19.4,30,6.15,-11.34,36.16,-11.43,9.52,-5.27,-10.48,-716.22,-2.85,-7.79,True
-14,750,-2.03,15.1,30,9.6,3.66,32.06,-10.38,10.1,-7.27,-8.24,-706.22,-2.64,,True
-1,87,-8.58,0,3,0.79,-98.34,20.44,3.15,21.46,-5.73,3.92,-514.22,0.69,-7.53,True
1,222,-7.44,3.22,3,0.53,-68.34,20.72,6.54,20.56,-5.84,1.68,-458.22,0.58,,True
1,90,-8.85,2.48,3,0.58,-83.34,20.74,4.47,22.28,-6.02,1.92,-498.22,1.26,-8.42,True
-14,705,-3.96,11.9,30,9.9,-296.34,31.06,-10.32,12.84,-5.33,-8.22,-776.22,-3.41,-7.7,True
-1,60,-7.64,3.08,3,0.2,-89.34,20.44,4.2,24.1,-6.16,4.38,-510.22,1.2,,False
-3,153,-7.02,3.04,3,0.87,-131.34,20.48,3.06,20.62,-6.64,0.04,-546.22,1.47,,True
-1,12,-6.92,3.36,3,0.4,-71.34,19.02,4.5,22,-8.08,0.18,-472.22,1.64,,False
-3,24,-7.33,2.1,3,0.27,-116.34,20.54,7.65,20.76,-5.49,0.5,-510.22,1.65,,True
-4,45,-6.04,16.4,30,9.75,108.66,30.86,-10.86,11.06,-5.28,-8.92,-736.22,0.37,,True
-4,165,-4.63,25.8,30,7.25,-56.34,31.76,-5.88,15.78,-6.5,-5.06,-796.22,-0.32,-5.88,False
-3,45,-6.69,1.16,3,0.39,-152.34,19.78,21.18,19.82,-6.93,2.6,-466.22,1.03,-8.2,True
-4,195,-2.33,21.6,30,6.2,168.66,32.46,-9.93,12.14,-5.65,-9.36,-636.22,-1.26,-8,False
-1,3,-7.84,2.46,3,0.95,-68.34,18.96,7.65,23.3,-5.73,4.64,-502.22,2.89,,False
-1,24,-7.64,4.02,3,0.96,-56.34,18.66,5.82,21.22,-6.37,0.06,-464.22,2.52,-6.11,False
-14,390,-3.61,12.2,30,8.55,-131.34,32.96,-7.41,10.3,-4.78,-0.72,-896.22,-2.37,,True
-4,1020,-1.42,19,30,8.85,168.66,35.06,-6.06,8.7,-7.34,-11.44,-606.22,-4.37,-6.03,False
-3,6,-8.39,0.02,3,0.35,-119.34,20.26,6.72,21.84,-8.58,1.46,-516.22,1.37,-5.6,False
-4,300,-7.02,19.7,30,5.35,-41.34,29.36,-3.72,12.96,-6.06,-0.16,-606.22,-2.22,-6,False
1,78,-8.5,0.3,3,0.87,-98.34,20.16,3.99,19.92,-9.13,-0.5,-492.22,4.16,-7.52,True
-3,9,-7,0.8,3,0.86,-140.34,19.26,4.02,19.54,-5.29,3,-478.22,1.73,,True
-1,225,-6.76,1.54,3,0.67,-149.34,20.5,6.69,19.08,-5.79,0.68,-492.22,0.7,,True
-24,600,-2.58,12,30,6.4,-266.34,37.06,-10.71,9.38,-4.56,-10.52,-856.22,-2.55,,True
-1,3,-7.32,1.9,3,0.74,-152.34,18.92,8.52,20.58,-6.13,1.4,-490.22,1.01,,False
-4,915,-6.26,20.2,30,5.5,93.66,29.26,0.39,16.88,-9.64,-2.04,-896.22,-0.88,-5.1,False
-1,66,-6.85,3.08,3,0.83,-107.34,20.24,3.15,18.9,-5.4,7.24,-496.22,1.44,-7.25,True
-3,72,-7.8,2.96,3,0.8,-134.34,20.38,13.83,18.84,-5.13,-0.9,-468.22,4.2,,True
-14,75,-2.37,12.8,30,5.15,-326.34,32.26,-9,14.64,-5.58,-4.84,-526.22,-3.45,-5.21,False
-4,645,-2.98,16.6,30,5.15,-71.34,32.86,-5.58,12,-5.64,-9.26,-516.22,-3.48,,False
